id,img_name,source,anger,disgust,fear,joy,neutral,sadness,surprise
168_faceplusplus,168,faceplusplus,0.006,16.829,0.197,0.006,19.224,63.609,0.129
169_faceplusplus,169,faceplusplus,0.002,0.761,0.024,0.002,1.578,97.589,0.046
170_faceplusplus,170,faceplusplus,0.003,0.003,0.024,0.015,5.131,94.801,0.023
171_faceplusplus,171,faceplusplus,0.012,0.055,0.145,0.019,27.167,72.551,0.051
172_faceplusplus,172,faceplusplus,0.009,0.009,0.048,0.009,59.107,40.414,0.405
173_faceplusplus,173,faceplusplus,0.006,6.49,0.006,0.024,45.949,47.212,0.313
174_faceplusplus,174,faceplusplus,0.001,0.015,0.001,0.006,98.934,1.036,0.007
175_faceplusplus,175,faceplusplus,0.006,0.011,0.006,0.07,24.592,74.645,0.672
176_faceplusplus,176,faceplusplus,0.001,0.002,0.001,0.002,97.752,2.224,0.018
177_faceplusplus,177,faceplusplus,0.0,0.002,0.0,0.065,99.911,0.019,0.002
178_faceplusplus,178,faceplusplus,0.002,0.017,0.002,0.031,93.146,6.733,0.071
179_faceplusplus,179,faceplusplus,0.001,0.006,0.001,0.079,97.464,2.412,0.036
180_faceplusplus,180,faceplusplus,0.0,0.0,0.0,0.066,99.405,0.514,0.015
181_faceplusplus,181,faceplusplus,0.0,0.0,0.0,0.011,99.808,0.179,0.001
182_faceplusplus,182,faceplusplus,0.001,0.004,0.001,0.129,99.19,0.67,0.005
183_faceplusplus,183,faceplusplus,0.0,0.002,0.0,0.051,99.939,0.008,0.0
184_faceplusplus,184,faceplusplus,0.0,0.0,0.0,0.267,99.717,0.015,0.0
185_faceplusplus,185,faceplusplus,0.002,0.09,0.002,0.396,81.707,17.801,0.002
186_faceplusplus,186,faceplusplus,0.001,0.031,0.026,1.164,98.367,0.41,0.001
187_faceplusplus,187,faceplusplus,0.003,0.003,4.158,2.54,92.206,1.087,0.003
188_faceplusplus,188,faceplusplus,0.003,0.005,0.1,4.357,95.483,0.036,0.016
189_faceplusplus,189,faceplusplus,0.01,0.023,8.278,7.766,80.778,3.134,0.01
190_faceplusplus,190,faceplusplus,0.133,0.192,28.755,27.86,39.752,3.234,0.075
191_faceplusplus,191,faceplusplus,0.049,0.017,6.073,91.136,2.683,0.026,0.017
192_faceplusplus,192,faceplusplus,0.06,0.038,1.146,91.307,7.326,0.085,0.038
193_faceplusplus,193,faceplusplus,0.035,0.012,0.073,90.389,6.754,2.726,0.012
194_faceplusplus,194,faceplusplus,3.991,0.08,21.519,65.302,6.393,2.636,0.08
195_faceplusplus,195,faceplusplus,0.004,0.055,6.001,93.715,0.034,0.187,0.004
196_faceplusplus,196,faceplusplus,0.282,0.237,5.775,92.552,0.753,0.35,0.052
197_faceplusplus,197,faceplusplus,0.014,0.008,0.016,84.399,0.293,15.262,0.008
198_faceplusplus,198,faceplusplus,0.095,0.006,0.012,99.119,0.651,0.112,0.006
199_faceplusplus,199,faceplusplus,0.775,0.022,0.11,98.845,0.14,0.087,0.022
200_faceplusplus,200,faceplusplus,0.007,0.004,0.093,99.554,0.274,0.064,0.004
201_faceplusplus,201,faceplusplus,0.055,0.02,0.397,46.08,5.198,48.229,0.02
202_faceplusplus,202,faceplusplus,1.217,0.027,2.478,91.618,1.647,2.985,0.027
203_faceplusplus,203,faceplusplus,0.003,0.076,0.057,99.553,0.003,0.305,0.003
204_faceplusplus,204,faceplusplus,0.023,0.003,0.108,99.605,0.22,0.038,0.003
205_faceplusplus,205,faceplusplus,0.002,0.022,0.184,99.682,0.054,0.054,0.002
206_faceplusplus,206,faceplusplus,2.121,0.01,0.434,96.09,0.331,1.004,0.01
207_faceplusplus,207,faceplusplus,0.01,0.014,3.667,95.868,0.283,0.147,0.01
208_faceplusplus,208,faceplusplus,0.038,0.028,13.907,76.061,6.336,3.602,0.028
209_faceplusplus,209,faceplusplus,0.496,0.036,0.055,17.883,0.201,81.319,0.01
210_faceplusplus,210,faceplusplus,0.01,1.042,0.05,42.611,0.698,55.578,0.01
211_faceplusplus,211,faceplusplus,0.077,10.785,1.218,73.323,4.912,9.554,0.13
212_faceplusplus,212,faceplusplus,0.034,15.372,1.883,23.496,0.718,58.464,0.034
213_faceplusplus,213,faceplusplus,0.043,0.843,4.385,87.823,3.68,3.165,0.062
214_faceplusplus,214,faceplusplus,0.08,0.206,14.143,40.951,13.14,31.201,0.279
215_faceplusplus,215,faceplusplus,0.013,0.247,0.082,5.03,74.065,20.549,0.013
216_faceplusplus,216,faceplusplus,0.007,0.008,0.112,1.174,98.267,0.314,0.118
217_faceplusplus,217,faceplusplus,0.008,0.008,0.024,4.535,93.339,1.943,0.144
218_faceplusplus,218,faceplusplus,0.006,0.008,0.021,1.164,92.75,5.945,0.106
219_faceplusplus,219,faceplusplus,0.001,0.001,0.004,0.035,96.968,2.973,0.018
220_faceplusplus,220,faceplusplus,0.0,0.0,0.002,0.14,99.448,0.408,0.001
221_faceplusplus,221,faceplusplus,0.001,0.001,0.003,0.007,99.971,0.012,0.006
222_faceplusplus,222,faceplusplus,0.002,0.002,0.002,0.101,97.961,1.929,0.002
223_faceplusplus,223,faceplusplus,0.003,0.044,0.003,0.059,76.849,23.039,0.003
